replicate,time_CFU_trans,time_CFU_recip,Even_trans,prop_trans,ratio_trans,Even_recip,prop_recip,ratio_recip,trans_pop_size,recip_pop_size,carrying_cap
77,0.681370743130066,NA,0.297959530997774,0.5,1.23744031424068,0.0299281236684792,0.666666666666667,32.413387724444,9925398039,1,10000000000
78,0.666650570053867,NA,0.0113799097499854,0.5,57.5827727383796,0.0170698647239962,0.666666666666667,57.5827723985554,9926774390,1,10000000000
79,0.825652791422767,NA,0.289025796003987,0.75,1.99182891966327,0,0.333333333333333,NA,9924247761,0,10000000000
80,0.768638682106614,NA,0.595689205645409,1,2.22217005407183,0,0.333333333333333,NA,9918229654,1,10000000000
81,0.976743222079639,NA,0.190517693356931,1,2.52648424656032,0.437054195894659,0.666666666666667,1.28804576044163,9924167105,0,10000000000
82,0.915438262932482,NA,0,0.25,NA,0,0.333333333333333,NA,9924517619,3,10000000000
83,0.540424810145595,NA,0.868021714375597,1,1.13437860546819,0,0.333333333333333,NA,9926863813,0,10000000000
84,1.46949998456614,NA,0.941298503063473,1,1.08151314541474,0.279019313845467,0.666666666666667,2.58398128867109,9923284585,0,10000000000
85,1.44538013519504,NA,0.383082221372872,1,4.94391508201268,0.0399580814958409,1,33.5266002161718,9931068113,0,10000000000
86,0.644416002495566,NA,0.174007455881591,1,8.91423501407569,0,0.333333333333333,NA,9924355570,0,10000000000
87,0.568037546632123,NA,0.511372098802455,1,2.15303261902794,0.111056307152263,0.666666666666667,8.0044413112797,9927796586,0,10000000000
88,1.48963456628904,NA,0.497937326014816,1,2.39473175543034,0.00115218877833945,0.666666666666667,866.91333052309,9924033470,0,10000000000
89,0.792908016747158,NA,0,0.25,NA,0,0.333333333333333,NA,9925599516,4,10000000000
90,1.53267018702661,NA,0.01401858444208,0.5,46.5559190317046,0,0.333333333333333,NA,9924277013,0,10000000000
91,0.722228387304785,NA,1.27550403138462e-4,0.5,5225.69196068827,2.52346661844927e-4,0.666666666666667,3961.80256964377,9924111751,0,10000000000
92,1.28696280130512,NA,0.407619648609874,1,1.30854885486198,0,0.333333333333333,NA,9924151170,0,10000000000
93,0.554521035678893,NA,0.583819456513768,1,1.91052054113308,0,0.333333333333333,NA,9925697733,0,10000000000
94,1.56065719800979,NA,0.223008761079857,0.5,1.98941917545535,0,0.333333333333333,NA,9924248542,1,10000000000
95,0.814407985177963,NA,0,0.25,NA,0,0.333333333333333,NA,9920644964,3,10000000000
96,0.653235091168779,NA,0.506351170897048,1,2.58471215129737,0,0.333333333333333,NA,9924258669,0,10000000000
97,3.58674008272544,NA,0.55172645710808,1,2.38084996057636,0,0.333333333333333,NA,9924150516,0,10000000000
98,0.48661175670367,NA,0.830401725729543,1,1.07781674292406,0,0.333333333333333,NA,9925181652,1,10000000000
99,1.22198255913087,NA,0,0.25,NA,0,0.333333333333333,NA,9932717062,1,10000000000
100,0.682448671924939,NA,0,0.25,NA,0,0.333333333333333,NA,9924236149,0,10000000000
